"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
72,0.25,0.75,30,10,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.177033657643257,0.188907143992171,0.244757137792002,0.326667102255699,0.177033657643257,0.188907143992171,0,0.02,1,0.244757137792002,0.326667102255699,0,0.02,1
73,0.5,0,15,2,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.268739519863049,0.358803734142559,0.454189751837665,0.492720038764861,0.268739519863049,0.358803734142559,0,0.02,1,0.454189751837665,0.492720038764861,0,0.02,1
74,0.5,0,15,5,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.244104709001316,0.486037608564464,0.809642281399161,0.824579953063073,0.244104709001316,0.486037608564464,0,0.02,1,0.809642281399161,0.824579953063073,0,0.02,1
75,0.5,0,15,10,0.261931262346821,0.00051177151864068,0.262443033865462,0.262443033865462,0.261931262346821,0.260909975495771,0.464633848729603,0.953695193541751,0.956465658340714,0.260909975495771,0.464633848729603,0,0.02,1,0.953695193541751,0.956465658340714,0,0.02,1
76,0.5,0,20,2,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.341629473218247,0.428780803046756,0.544551834705892,0.560575509834078,0.341629473218247,0.428780803046756,0,0.02,1,0.544551834705892,0.560575509834078,0,0.02,1
77,0.5,0,20,5,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.382239281590571,0.550337718848549,0.885722228773654,0.889411599738869,0.382239281590571,0.550337718848549,0,0.02,1,0.885722228773654,0.889411599738869,0,0.02,1
78,0.5,0,20,10,0.337708365563488,0.000230663361602268,0.33793902892509,0.33793902892509,0.337708365563488,0.301434235941182,0.484145522480239,0.987495696101207,0.987589719773712,0.301434235941182,0.484145522480239,0,0.02,1,0.987495696101207,0.987589719773712,0,0.02,1
79,0.5,0,30,2,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.559521121713873,0.582181737641102,0.724437966969552,0.760867401288893,0.559521121713873,0.582181737641102,0,0.02,1,0.724437966969552,0.760867401288893,0,0.02,1
80,0.5,0,30,5,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.45631559710793,0.603966931013881,0.979488626533964,0.979492017595979,0.45631559710793,0.603966931013881,0,0.02,1,0.979488626533964,0.979492017595979,0,0.02,1
81,0.5,0,30,10,0.47784098594094,0.0000555348192697869,0.47789652076021,0.47789652076021,0.47784098594094,0.411190633746642,0.543803397703398,0.999448464621715,0.999448803026631,0.411190633746642,0.543803397703398,0,0.02,1,0.999448464621715,0.999448803026631,0,0.02,1
